remaining_distance_km,cargo_weight_tons,vehicle_type,hour_of_day,day_of_week,incident_count,security_risk_level,average_speed_kmh,target_remaining_minutes
589.09,6.0,2,7,1,0,2,57.6,675.5
505.38,28.6,1,0,0,1,0,44.3,719.4
196.97,31.0,3,13,1,0,0,55.4,237.2
695.34,11.4,2,10,2,0,1,56.1,765.8
102.54,8.9,2,19,2,0,0,63.7,81.8
886.07,20.1,3,9,6,0,2,62.4,894.5
191.14,7.8,3,7,6,1,0,57.9,237.3
109.89,16.1,3,11,1,0,0,57.1,124.6
853.62,30.9,3,20,1,0,0,57.9,897.9
260.25,42.0,3,17,1,0,0,62.1,234.1
223.85,6.3,2,12,2,0,0,55.8,232.6
658.94,13.5,2,12,5,0,0,57.9,691.8
519.62,15.5,3,13,4,0,0,59.0,569.2
473.48,8.6,1,3,1,0,0,54.1,513.0
76.54,20.3,2,16,2,0,0,66.0,68.2
661.44,32.3,3,8,6,0,0,61.8,650.4
423.81,43.2,3,8,4,0,1,58.9,456.5
576.52,38.7,3,19,1,2,1,51.3,754.4
712.98,26.2,1,19,2,0,0,59.7,723.9
896.94,37.3,1,1,1,0,0,55.9,961.1
452.53,7.8,3,4,1,0,0,55.6,486.0
489.63,29.3,1,17,6,0,1,61.9,509.5
905.68,31.0,2,16,3,0,0,51.6,1063.9
543.59,14.2,1,0,0,0,0,55.1,593.6
47.96,18.2,3,7,2,0,0,61.4,53.1
852.61,27.8,2,7,6,2,0,56.0,986.5
606.49,19.2,2,14,6,2,1,58.0,691.8
107.59,21.1,2,3,1,0,1,43.6,171.6
183.3,23.5,1,14,6,0,0,62.8,173.9
909.36,38.4,1,7,1,0,0,49.1,1114.0
823.17,11.6,1,12,2,0,0,66.3,735.4
639.97,34.2,3,21,5,1,0,57.5,710.6
72.05,34.4,1,23,2,0,0,38.8,104.3
778.92,11.3,3,2,6,0,1,42.2,1122.4
229.33,9.8,3,7,4,0,2,58.4,277.1
539.47,25.9,2,6,5,1,0,61.4,574.2
617.8,17.0,2,2,0,0,1,59.8,644.5
85.2,13.5,2,4,2,1,0,59.0,113.7
160.39,38.3,3,9,4,1,0,65.6,167.9
614.4,27.2,3,3,1,0,0,49.6,730.6
158.35,16.3,1,22,2,1,0,44.2,242.9
454.79,41.2,1,2,5,0,0,47.1,580.3
706.3,30.5,2,5,5,0,0,47.3,881.1
119.57,42.8,3,4,4,1,0,38.2,234.0
402.51,6.7,2,1,2,1,0,46.8,556.6
714.3,40.4,2,19,5,0,0,56.3,751.0
888.82,37.4,2,0,1,1,0,49.0,1147.5
733.99,39.6,1,8,1,1,0,65.8,719.6
784.15,13.9,2,11,2,0,0,65.4,713.2
607.43,20.9,2,2,6,0,0,44.7,805.9
893.22,26.4,1,3,2,0,0,46.8,1143.0
116.48,22.4,3,10,3,0,0,56.8,122.2
533.16,15.2,3,13,0,2,0,60.6,580.7
856.83,34.5,1,11,3,0,0,48.7,1046.4
299.38,38.9,3,9,4,0,0,50.9,359.5
283.13,10.1,2,21,3,0,0,65.3,250.6
287.85,26.9,1,9,2,2,1,53.9,399.4
306.8,22.7,3,6,4,0,1,61.9,309.9
171.03,8.4,3,21,5,1,0,67.3,203.9
229.03,17.4,1,4,0,1,0,47.3,323.9
703.96,23.2,3,18,1,1,1,59.2,781.5
151.34,32.5,1,13,1,0,0,55.4,160.1
64.69,15.0,1,14,1,0,0,59.1,34.7
549.95,43.0,2,19,6,1,1,54.0,670.4
507.61,40.9,3,15,3,0,0,52.6,596.1
701.57,25.9,3,7,2,0,0,56.2,740.5
318.9,40.7,1,4,1,0,0,42.5,432.6
77.16,21.3,3,14,3,2,0,52.6,147.7
705.12,42.8,1,18,3,0,0,58.2,723.4
367.09,40.7,2,17,5,0,2,62.1,380.3
454.52,15.9,2,0,3,2,0,46.6,644.2
166.89,23.7,1,19,4,0,0,47.3,221.3
44.12,30.7,1,14,1,0,0,48.6,60.2
310.89,35.4,2,8,6,0,0,59.1,326.4
438.57,35.0,1,11,1,0,0,60.1,420.7
691.27,43.0,1,0,4,2,0,45.7,990.3
521.93,13.7,3,8,6,0,0,50.6,599.8
659.34,36.1,1,9,0,3,0,61.6,740.4
828.14,20.0,3,6,0,0,0,60.8,809.4
640.5,17.1,3,19,6,0,0,57.6,665.1
329.01,22.1,2,2,4,0,0,55.5,356.7
456.28,22.3,2,20,6,0,0,58.4,474.9
484.35,31.0,3,17,6,0,1,52.5,586.2
258.87,39.1,1,8,3,0,0,48.4,324.5
357.3,6.1,2,5,3,0,0,47.7,439.0
803.48,33.0,2,17,0,0,0,58.1,838.1
381.72,27.2,1,22,3,0,0,46.6,492.7
102.82,13.9,3,7,2,0,0,58.8,116.1
325.94,44.9,3,10,2,0,0,59.0,340.5
127.38,12.7,1,23,4,2,0,57.4,195.9
677.36,16.1,3,16,4,0,0,56.7,721.4
222.46,12.2,1,22,4,2,1,45.9,386.9
280.0,42.8,3,15,0,0,0,59.1,278.2
412.02,12.4,1,8,6,1,0,59.9,436.8
85.93,30.2,1,4,1,0,0,55.5,91.3
240.89,27.3,2,19,4,0,1,62.8,269.6
420.96,22.7,3,13,2,2,0,66.2,462.8
108.32,35.5,3,6,2,0,0,60.4,113.8
86.81,5.1,2,22,4,1,1,53.5,159.4
271.62,39.4,1,21,1,1,0,64.3,272.1
608.45,42.3,2,3,4,0,0,45.2,815.3
146.59,7.4,2,19,5,0,1,67.4,149.4
437.14,17.2,2,8,4,0,0,55.4,479.6
811.59,34.4,3,8,0,0,0,55.9,865.7
531.93,43.0,3,8,4,0,0,49.0,637.8
599.84,41.6,1,18,3,0,0,57.1,630.6
329.69,18.3,3,3,6,0,0,42.0,478.4
609.7,21.0,3,1,3,1,0,43.5,881.9
707.57,39.6,1,21,6,0,0,55.5,769.0
341.98,35.3,3,14,6,0,1,49.5,445.8
276.35,40.2,2,3,0,0,0,54.3,299.8
160.96,27.0,3,13,0,0,0,54.0,173.9
862.88,30.9,1,15,5,0,0,53.1,963.1
449.42,23.9,2,17,1,3,0,59.2,553.8
802.6,39.6,2,13,2,1,0,57.9,865.6
271.73,16.9,3,18,5,1,0,60.6,316.0
327.16,27.1,3,12,3,0,0,70.3,254.6
232.54,20.3,2,1,2,0,0,52.6,244.2
363.61,31.5,3,4,3,0,0,62.1,373.5
315.48,9.0,2,3,4,0,0,59.4,319.3
795.13,43.8,1,15,6,2,2,61.2,915.2
598.35,39.1,3,17,3,2,0,59.4,656.5
454.27,26.6,3,2,1,0,1,60.8,453.5
684.62,22.4,1,20,5,0,2,59.6,745.6
824.05,6.8,1,9,2,2,1,59.6,936.3
523.68,36.7,1,5,0,0,0,47.1,679.3
462.92,28.3,1,14,5,1,0,53.5,555.8
736.12,41.0,3,17,1,0,0,57.9,750.8
286.25,43.5,3,8,3,2,0,62.6,355.6
450.06,14.5,3,11,4,0,0,55.2,486.8
758.73,20.8,1,18,6,0,2,61.1,791.3
559.7,24.9,2,7,4,0,0,63.0,540.7
243.06,35.2,3,21,6,1,0,54.5,312.3
55.09,36.5,1,18,2,0,0,62.6,58.2
685.26,12.0,1,17,2,0,0,64.3,627.7
248.7,38.0,2,9,5,1,1,63.7,281.5
87.02,35.2,1,21,5,1,1,55.0,168.9
516.01,8.6,2,0,2,0,0,47.5,656.8
618.38,28.4,3,11,0,1,0,56.2,698.2
859.42,18.1,3,7,5,1,0,54.3,961.1
288.95,21.3,1,1,0,1,0,45.6,415.4
809.66,10.4,2,11,5,0,0,65.0,733.3
542.73,34.1,2,20,0,0,0,57.0,552.4
268.97,32.6,1,14,3,0,0,65.2,243.2
630.26,26.8,3,11,0,0,0,56.6,673.8
774.75,23.2,3,6,5,0,0,61.1,760.1
316.82,44.6,3,6,0,1,0,57.6,359.7
743.62,14.3,1,19,0,0,0,64.0,693.6
500.79,36.9,1,21,6,1,0,54.4,589.3
231.76,18.0,1,8,0,0,0,51.1,274.9
76.57,22.9,2,16,4,0,0,44.5,102.5
58.59,36.3,3,16,2,0,0,57.1,60.6
446.29,21.1,3,3,3,1,2,47.5,657.7
306.68,10.9,1,8,4,0,0,58.6,310.8
905.22,26.2,2,16,4,1,0,56.9,983.8
602.69,40.1,3,23,6,0,0,41.8,867.7
321.65,23.1,2,23,0,0,2,46.1,477.1
868.7,32.5,2,2,0,1,0,55.5,977.1
677.53,37.5,3,1,4,0,0,51.8,778.0
385.62,39.9,2,23,0,0,0,53.7,424.3
534.35,13.5,3,15,1,0,0,62.1,528.6
122.25,16.1,1,13,6,0,0,60.0,105.6
620.73,27.3,3,21,6,2,0,63.0,662.9
698.54,41.9,2,0,1,0,0,51.4,810.5
146.27,30.3,1,2,5,0,0,47.4,194.4
160.09,17.5,2,18,4,0,0,53.5,181.8
569.88,32.0,2,14,5,0,0,53.5,631.4
211.86,25.5,2,13,0,0,0,52.8,228.3
613.75,6.8,2,19,0,1,0,50.9,766.3
142.14,15.2,2,3,0,0,0,49.2,176.0
494.0,14.2,3,21,6,0,0,52.5,576.5
408.24,23.4,1,10,4,0,0,53.2,470.1
277.67,21.2,2,5,6,0,0,52.8,320.1
342.05,22.5,1,7,3,0,0,56.4,362.1
296.14,18.6,2,5,0,0,0,53.2,343.4
826.27,19.0,3,20,6,0,1,54.5,940.2
174.41,11.1,3,2,1,0,0,55.9,177.6
521.72,28.2,3,18,5,0,0,55.4,548.1
578.22,11.0,1,15,3,0,0,62.3,541.5
333.23,8.0,2,14,0,2,0,52.8,444.5
789.18,39.2,3,19,4,0,0,48.1,970.0
677.64,6.6,3,20,1,0,0,54.9,741.6
75.07,9.1,2,22,0,2,0,52.3,164.1
409.6,22.6,3,19,1,2,1,58.4,510.0
709.27,32.2,1,20,5,0,0,52.7,821.0
364.04,15.1,3,19,6,0,0,56.9,392.6
835.9,17.4,3,22,5,0,0,42.9,1153.2
295.53,20.1,2,4,5,0,0,63.2,267.2
832.08,8.7,3,13,4,1,0,55.8,935.5
210.63,42.9,2,6,1,1,0,65.6,236.0
721.43,25.3,3,23,4,0,0,39.7,1107.8
136.63,20.1,1,5,6,0,1,48.7,175.0
661.85,6.7,2,21,5,1,1,52.9,814.1
686.2,23.0,3,7,2,0,0,66.8,591.0
192.67,32.1,3,14,3,1,1,62.1,232.2
392.61,11.5,1,19,1,3,0,68.2,454.8
350.38,42.4,3,16,6,0,0,51.8,409.4
419.89,25.5,2,2,1,0,1,60.0,426.5
389.26,20.9,2,7,3,1,0,65.5,393.6
848.44,38.6,3,10,6,1,0,57.4,928.3
440.48,38.2,3,15,3,0,1,58.9,472.4
211.93,11.0,3,19,4,0,1,58.2,234.8
128.45,14.5,3,19,3,0,1,53.5,157.0
497.09,30.3,3,7,5,0,0,47.9,629.8
234.1,21.7,3,21,0,2,0,53.7,354.4
504.23,36.5,3,17,0,0,2,50.8,648.7
893.13,15.1,1,11,6,2,0,52.0,1118.1
